iter	Passed	Remaining
0	161	161477
1	186	93279
2	204	67943
3	225	56118
4	246	48972
5	274	45478
6	302	42919
7	330	40958
8	358	39524
9	380	37632
10	408	36733
11	443	36529
12	471	35812
13	499	35195
14	527	34619
15	555	34187
16	571	33054
17	589	32140
18	618	31912
19	636	31193
20	666	31064
21	683	30400
22	711	30222
23	735	29917
24	742	28971
25	753	28224
26	782	28186
27	803	27876
28	831	27836
29	848	27446
30	878	27458
31	894	27073
32	926	27153
33	956	27187
34	983	27117
35	1012	27123
36	1042	27140
37	1058	26804
38	1090	26859
39	1120	26895
40	1150	26920
41	1174	26788
42	1181	26299
43	1202	26132
44	1229	26102
45	1258	26099
46	1287	26097
47	1297	25737
48	1326	25738
49	1354	25732
50	1383	25751
51	1409	25698
52	1437	25685
53	1465	25675
54	1493	25657
55	1520	25639
56	1542	25514
57	1570	25500
58	1584	25264
59	1603	25126
60	1630	25103
61	1658	25085
62	1682	25022
63	1709	25003
64	1730	24894
65	1758	24883
66	1787	24891
67	1815	24888
68	1823	24609
69	1852	24606
70	1880	24603
71	1908	24592
72	1936	24587
73	1964	24579
74	1978	24401
75	2006	24398
76	2034	24391
77	2062	24382
78	2090	24377
79	2095	24093
80	2122	24082
81	2150	24074
82	2179	24076
83	2213	24132
84	2245	24167
85	2276	24193
86	2306	24204
87	2337	24228
88	2363	24197
89	2394	24207
90	2424	24214
91	2454	24224
92	2484	24234
93	2512	24218
94	2540	24200
95	2567	24178
96	2594	24154
97	2625	24163
98	2653	24146
99	2680	24124
100	2708	24105
101	2735	24086
102	2763	24064
103	2790	24043
104	2818	24025
105	2846	24004
106	2874	23989
107	2901	23966
108	2929	23943
109	2956	23921
110	2983	23898
111	3012	23882
112	3039	23859
113	3068	23846
114	3095	23821
115	3123	23799
116	3150	23778
117	3180	23770
118	3207	23749
119	3235	23725
120	3263	23706
121	3287	23655
122	3314	23634
123	3342	23614
124	3370	23594
125	3398	23570
126	3425	23549
127	3453	23524
128	3480	23502
129	3514	23521
130	3558	23606
131	3598	23663
132	3628	23651
133	3659	23648
134	3689	23639
135	3719	23632
136	3750	23627
137	3781	23620
138	3811	23608
139	3840	23594
140	3869	23572
141	3890	23504
142	3917	23480
143	3945	23453
144	3972	23425
145	4000	23402
146	4028	23378
147	4056	23353
148	4084	23329
149	4112	23302
150	4139	23274
151	4156	23191
152	4184	23164
153	4212	23142
154	4240	23116
155	4267	23090
156	4295	23066
157	4323	23039
158	4350	23011
159	4377	22983
160	4405	22957
161	4434	22938
162	4462	22913
163	4490	22890
164	4518	22865
165	4545	22839
166	4573	22813
167	4603	22798
168	4631	22775
169	4659	22749
170	4687	22726
171	4715	22699
172	4743	22676
173	4772	22656
174	4803	22644
175	4834	22632
176	4863	22614
177	4894	22601
178	4923	22582
179	4953	22564
180	4983	22548
181	4991	22432
182	5022	22423
183	5053	22409
184	5083	22394
185	5111	22370
186	5139	22345
187	5167	22319
188	5194	22291
189	5222	22264
190	5249	22235
191	5276	22207
192	5304	22179
193	5331	22151
194	5359	22126
195	5386	22096
196	5414	22070
197	5445	22056
198	5474	22037
199	5502	22010
200	5530	21985
201	5561	21972
202	5589	21945
203	5616	21917
204	5644	21888
205	5671	21858
206	5698	21829
207	5725	21800
208	5752	21773
209	5780	21744
210	5808	21720
211	5836	21695
212	5864	21668
213	5891	21639
214	5918	21611
215	5946	21582
216	5976	21563
217	6003	21536
218	6032	21511
219	6059	21483
220	6087	21457
221	6117	21438
222	6147	21419
223	6179	21407
224	6210	21391
225	6241	21376
226	6272	21358
227	6302	21339
228	6331	21316
229	6362	21300
230	6392	21280
231	6422	21260
232	6450	21232
233	6478	21206
234	6505	21178
235	6534	21152
236	6563	21129
237	6590	21099
238	6617	21070
239	6644	21042
240	6672	21013
241	6699	20985
242	6727	20958
243	6756	20934
244	6784	20905
245	6811	20877
246	6838	20848
247	6865	20819
248	6893	20790
249	6920	20761
250	6948	20733
251	6975	20704
252	7003	20677
253	7030	20648
254	7057	20618
255	7084	20589
256	7112	20562
257	7140	20535
258	7167	20506
259	7194	20478
260	7221	20447
261	7248	20417
262	7275	20387
263	7302	20357
264	7329	20327
265	7356	20298
266	7383	20269
267	7411	20243
268	7442	20223
269	7472	20202
270	7502	20182
271	7532	20161
